atomic_number,symbol,name,protons,neutrons,abundance_ppm
1,H,Hydrogen,1,0,739000
2,He,Helium,2,2,240000
3,Li,Lithium,3,4,1
4,Be,Beryllium,4,5,1
5,B,Boron,5,6,1
6,C,Carbon,6,6,4600
7,N,Nitrogen,7,7,960
8,O,Oxygen,8,8,10400
9,F,Fluorine,9,10,1
10,Ne,Neon,10,10,1340
11,Na,Sodium,11,12,1
12,Mg,Magnesium,12,12,580
13,Al,Aluminum,13,14,1
14,Si,Silicon,14,14,650
15,P,Phosphorus,15,16,1
16,S,Sulfur,16,16,440
17,Cl,Chlorine,17,18,1
18,Ar,Argon,18,22,1
19,K,Potassium,19,20,1
20,Ca,Calcium,20,20,1
21,Sc,Scandium,21,24,1
22,Ti,Titanium,22,26,1
23,V,Vanadium,23,28,1
24,Cr,Chromium,24,28,1
25,Mn,Manganese,25,30,1
26,Fe,Iron,26,30,1090
27,Co,Cobalt,27,32,1
28,Ni,Nickel,28,31,1
29,Cu,Copper,29,35,1
30,Zn,Zinc,30,35,1
31,Ga,Gallium,31,39,1
32,Ge,Germanium,32,41,1
33,As,Arsenic,33,42,1
34,Se,Selenium,34,45,1
35,Br,Bromine,35,45,1
36,Kr,Krypton,36,48,1
37,Rb,Rubidium,37,48,1
38,Sr,Strontium,38,50,1
39,Y,Yttrium,39,50,1
40,Zr,Zirconium,40,51,1
41,Nb,Niobium,41,52,1
42,Mo,Molybdenum,42,54,1
43,Tc,Technetium,43,55,1
44,Ru,Ruthenium,44,57,1
45,Rh,Rhodium,45,58,1
46,Pd,Palladium,46,60,1
47,Ag,Silver,47,61,1
48,Cd,Cadmium,48,64,1
49,In,Indium,49,66,1
50,Sn,Tin,50,69,1
51,Sb,Antimony,51,71,1
52,Te,Tellurium,52,76,1
53,I,Iodine,53,74,1
54,Xe,Xenon,54,77,1
55,Cs,Cesium,55,78,1
56,Ba,Barium,56,81,1
57,La,Lanthanum,57,82,1
58,Ce,Cerium,58,82,1
59,Pr,Praseodymium,59,82,1
60,Nd,Neodymium,60,84,1
61,Pm,Promethium,61,84,1
62,Sm,Samarium,62,88,1
63,Eu,Europium,63,89,1
64,Gd,Gadolinium,64,93,1
65,Tb,Terbium,65,94,1
66,Dy,Dysprosium,66,96,1
67,Ho,Holmium,67,98,1
68,Er,Erbium,68,99,1
69,Tm,Thulium,69,100,1
70,Yb,Ytterbium,70,103,1
71,Lu,Lutetium,71,104,1
72,Hf,Hafnium,72,106,1
73,Ta,Tantalum,73,108,1
74,W,Tungsten,74,110,1
75,Re,Rhenium,75,111,1
76,Os,Osmium,76,114,1
77,Ir,Iridium,77,115,1
78,Pt,Platinum,78,117,1
79,Au,Gold,79,118,1
80,Hg,Mercury,80,121,1
81,Tl,Thallium,81,123,1
82,Pb,Lead,82,125,1
83,Bi,Bismuth,83,126,1
84,Po,Polonium,84,125,1
85,At,Astatine,85,125,1
86,Rn,Radon,86,136,1
87,Fr,Francium,87,136,1
88,Ra,Radium,88,138,1
89,Ac,Actinium,89,138,1
90,Th,Thorium,90,142,1
91,Pa,Protactinium,91,140,1
92,U,Uranium,92,146,1
93,Np,Neptunium,93,144,1
94,Pu,Plutonium,94,150,1
95,Am,Americium,95,148,1
96,Cm,Curium,96,151,1
97,Bk,Berkelium,97,150,1
98,Cf,Californium,98,153,1
99,Es,Einsteinium,99,153,1
100,Fm,Fermium,100,157,1
101,Md,Mendelevium,101,157,1
102,No,Nobelium,102,157,1
103,Lr,Lawrencium,103,159,1
104,Rf,Rutherfordium,104,157,1
105,Db,Dubnium,105,157,1
106,Sg,Seaborgium,106,160,1
107,Bh,Bohrium,107,157,1
108,Hs,Hassium,108,169,1
109,Mt,Meitnerium,109,159,1
110,Ds,Darmstadtium,110,171,1
111,Rg,Roentgenium,111,161,1
112,Cn,Copernicium,112,173,1
113,Nh,Nihonium,113,173,1
114,Fl,Flerovium,114,175,1
115,Mc,Moscovium,115,174,1
116,Lv,Livermorium,116,177,1
117,Ts,Tennessine,117,177,1
118,Og,Oganesson,118,176,1
